,provider,size,count,mean,std,min,p50,p99,max
0,flyio,100,1,3592.02,0.0,3592.02,3592.02,3592.02,3592.02
1,flyio,200,2392,1710.94,3169.31,183.67,986.4,21323.93,30711.64
2,flyio,300,2406,1391.02,1386.7,208.3,985.72,7695.73,9955.47
3,flyio,400,2371,3324.18,2018.6,74.55,2892.36,10009.75,11603.04
4,flyio,500,2373,3166.87,1699.99,75.22,2949.69,6061.45,10709.72
5,flyio,600,2408,1390.11,1393.06,133.87,986.33,7661.71,12231.73
6,flyio,700,2405,1519.56,636.4,75.84,1408.57,5973.55,6054.29
7,flyio,800,2388,1960.88,3464.46,75.97,1043.26,21542.13,30151.03
8,flyio,900,2349,3348.13,1726.82,76.08,3112.35,10202.3,23018.27
9,flyio,1000,2384,3132.89,1682.1,74.38,2902.42,6060.81,11485.6
10,flyio,2000,2394,3128.87,1707.51,75.01,2862.79,6066.46,11256.57
