,provider,size,day,count,mean,std,min,p50,p99,max
0,flyio,100,2024-08-20,1,3592.02,0.0,3592.02,3592.02,3592.02,3592.02
1,flyio,200,2024-08-20,47,945.67,26.36,885.83,947.97,997.82,998.01
2,flyio,200,2024-08-21,70,957.78,30.72,896.01,959.8,1015.39,1016.48
3,flyio,200,2024-08-22,70,960.41,32.94,903.88,961.86,1057.34,1083.68
4,flyio,200,2024-08-23,84,1030.54,495.24,894.99,960.75,2270.44,5454.38
5,flyio,200,2024-08-24,69,11432.67,6410.18,183.67,7971.28,24137.35,24145.67
6,flyio,200,2024-08-25,70,11821.33,8446.97,921.5,7695.15,30310.3,30711.64
7,flyio,200,2024-08-26,92,957.66,25.83,898.66,955.53,1019.0,1029.44
8,flyio,200,2024-08-27,90,955.36,31.46,880.68,959.81,1017.44,1080.49
9,flyio,200,2024-08-28,74,956.56,29.24,893.63,956.95,1029.55,1037.18
10,flyio,200,2024-08-29,86,1259.58,693.38,903.35,972.05,3505.35,3566.0
11,flyio,200,2024-08-30,71,1012.58,192.83,929.3,983.32,1615.79,2559.59
12,flyio,200,2024-08-31,70,1796.39,3886.93,915.84,974.66,22977.3,25560.37
13,flyio,200,2024-09-01,68,987.36,107.41,899.74,966.61,1505.46,1561.46
14,flyio,200,2024-09-02,70,963.49,28.76,899.24,963.46,1028.46,1033.66
15,flyio,200,2024-09-03,70,967.32,26.62,907.55,965.5,1026.89,1029.62
16,flyio,200,2024-09-04,70,962.89,24.52,909.22,964.6,1015.52,1016.26
17,flyio,200,2024-09-05,67,969.88,23.38,918.96,969.74,1016.82,1019.97
18,flyio,200,2024-09-06,72,971.77,23.3,925.68,970.43,1031.34,1038.48
19,flyio,200,2024-09-07,92,982.12,41.52,923.82,974.52,1094.88,1245.41
20,flyio,200,2024-09-08,92,976.93,21.09,918.0,978.57,1028.79,1045.15
21,flyio,200,2024-09-09,92,982.34,28.5,909.6,981.32,1046.59,1066.97
22,flyio,200,2024-09-10,89,1191.4,644.75,950.33,1009.9,3758.88,4563.28
23,flyio,200,2024-09-11,70,1025.97,86.32,948.9,1015.72,1411.02,1584.83
24,flyio,200,2024-09-12,70,1028.44,123.19,929.31,1003.9,1623.05,1750.98
25,flyio,200,2024-09-13,70,1032.69,91.86,937.73,1004.5,1344.38,1367.94
26,flyio,200,2024-09-14,70,1258.33,144.86,1165.88,1224.86,1989.99,2123.81
27,flyio,200,2024-09-15,70,1232.61,79.31,1152.93,1218.61,1480.44,1824.89
28,flyio,200,2024-09-16,70,1276.93,367.76,1166.31,1225.23,2547.78,4274.45
29,flyio,200,2024-09-17,76,1592.89,2247.45,973.05,1230.44,7710.18,20756.4
30,flyio,200,2024-09-18,92,1477.53,52.5,1408.36,1471.16,1672.66,1864.0
31,flyio,200,2024-09-19,92,1093.45,357.96,951.22,1022.66,1880.14,4296.85
32,flyio,200,2024-09-20,37,1118.28,527.83,968.12,1025.87,3185.73,4272.09
33,flyio,300,2024-08-20,47,945.01,29.65,889.17,949.19,1003.55,1004.75
34,flyio,300,2024-08-21,70,960.81,32.8,896.98,961.79,1032.2,1034.45
35,flyio,300,2024-08-22,70,955.75,28.98,894.46,959.61,1009.41,1019.66
36,flyio,300,2024-08-23,84,1047.25,589.41,881.69,959.3,2382.45,6311.61
37,flyio,300,2024-08-24,73,6416.22,1508.01,257.94,6428.8,9341.43,9411.49
38,flyio,300,2024-08-25,78,5618.05,2673.77,208.3,6521.18,9308.24,9955.47
39,flyio,300,2024-08-26,92,952.28,29.27,892.08,953.98,1015.68,1023.01
40,flyio,300,2024-08-27,90,969.72,99.55,901.17,960.52,1137.77,1869.66
41,flyio,300,2024-08-28,74,1092.09,827.57,898.26,957.15,6052.81,6060.26
42,flyio,300,2024-08-29,87,1364.9,1068.33,930.3,977.54,6125.7,6328.35
43,flyio,300,2024-08-30,70,979.11,40.05,911.7,973.21,1126.05,1146.68
44,flyio,300,2024-08-31,70,1360.16,1530.87,908.57,966.97,7733.08,7812.62
45,flyio,300,2024-09-01,68,995.0,112.62,904.86,974.26,1509.87,1574.21
46,flyio,300,2024-09-02,70,969.65,29.3,920.63,966.8,1046.59,1091.67
47,flyio,300,2024-09-03,70,968.91,26.37,907.27,966.65,1048.56,1081.06
48,flyio,300,2024-09-04,70,959.56,26.61,900.11,957.36,1019.57,1024.31
49,flyio,300,2024-09-05,67,967.44,21.61,924.14,971.19,1017.06,1022.01
50,flyio,300,2024-09-06,72,972.46,32.78,923.4,965.79,1100.22,1132.59
51,flyio,300,2024-09-07,92,976.33,36.61,899.98,971.02,1064.51,1190.11
52,flyio,300,2024-09-08,92,977.87,26.68,920.59,977.04,1066.07,1079.08
53,flyio,300,2024-09-09,92,976.14,24.73,912.49,974.24,1044.25,1055.07
54,flyio,300,2024-09-10,90,1061.09,176.72,924.09,1003.5,1820.46,1930.51
55,flyio,300,2024-09-11,70,1027.69,117.89,928.57,1004.8,1641.69,1716.6
56,flyio,300,2024-09-12,70,1022.09,93.17,955.87,1008.48,1459.35,1497.81
57,flyio,300,2024-09-13,70,1081.04,412.97,941.09,1006.53,2267.26,4444.95
58,flyio,300,2024-09-14,70,1260.82,142.28,1170.46,1235.05,1871.51,2230.81
59,flyio,300,2024-09-15,70,1230.08,69.18,1163.8,1219.53,1435.94,1753.14
60,flyio,300,2024-09-16,70,1231.61,42.39,1144.67,1228.38,1359.82,1363.16
61,flyio,300,2024-09-17,77,1421.74,580.31,984.08,1242.5,4408.81,4462.97
62,flyio,300,2024-09-18,92,1492.62,102.27,1412.39,1473.54,1949.19,2298.23
63,flyio,300,2024-09-19,92,1081.57,146.02,942.37,1029.91,1556.49,1635.46
64,flyio,300,2024-09-20,37,1053.45,109.67,961.43,1029.55,1479.36,1556.19
65,flyio,400,2024-08-20,37,8259.64,3962.43,75.19,10201.09,11146.89,11603.04
