provider,n,total,success,failure,unknown
google,25,5334,99.62504686914136,0.0,0.3749531308586427
google,35,6303,99.73028716484214,0.0,0.2697128351578614
google,40,6758,99.77804084048535,0.0,0.2219591595146493
google,45,4015,99.72602739726028,0.0,0.273972602739726
flyio,25,5960,99.42953020134229,0.0,0.5704697986577181
flyio,35,6879,99.5202791103358,0.0,0.4797208896641954
flyio,40,6646,99.5034607282576,0.0,0.4965392717424014
flyio,45,4351,99.42541944380602,0.0,0.5745805561939784
cloudflare,25,6065,99.67023907666942,0.0,0.3297609233305853
cloudflare,35,5777,64.61831400380821,35.087415613640296,0.29427038255149734
cloudflare,40,5814,0.0,99.74200206398349,0.2579979360165119
cloudflare,45,4615,0.0,99.78331527627302,0.21668472372697722
aws,25,5523,99.63787796487416,0.0,0.3621220351258374
aws,35,6536,99.72460220318237,0.0,0.26009791921664627
aws,40,6614,99.77320834593287,0.0,0.22679165406713034
aws,45,4615,0.0,0.0,100.0
