provider,payload_size,count,mean,std,min,p50,p99,max
aws,512,1168,379.73,257.29,116,254.5,1480.3,1710
aws,1023,1166,652.72,302.35,295,569.0,1792.05,1953
aws,2048,926,1176.64,286.64,766,1139.5,2307.5,2472
flyio,512,5,10.0,2.1,8,9.0,13.84,14
flyio,1023,5,23.8,6.43,17,20.0,32.88,33
flyio,2048,5,41.6,4.5,34,44.0,45.96,46
flyio,8192,5,152.0,16.42,139,147.0,182.6,184
google,512,1149,30.16,23.32,17,24.0,180.08,247
google,1023,1170,42.27,19.37,22,39.0,84.31,474
google,2048,898,1045.23,6028.24,45,70.0,40500.15,59843
google,8192,1143,628.76,2965.36,189,343.0,2761.38,57199
