provider,runtime,second,count,mean,std,min,p50,p99,max,avg_cold_starts
aws,Node.js,0,743,158.71,118.1,27.74,133.77,329.41,453.7,1.6944444444444444
aws,Node.js,1,1687,45.49,46.88,26.92,34.08,284.16,411.81,0.2723404255319149
aws,Node.js,2,2146,34.62,8.68,26.44,33.43,53.72,277.55,0.00847457627118644
aws,Node.js,3,2609,34.44,5.78,25.32,33.34,59.68,115.47,0.0
aws,Node.js,4,3077,34.38,5.98,26.64,33.23,58.8,110.1,0.0
aws,Node.js,5,3532,33.97,5.72,25.32,32.9,57.29,127.29,0.0
aws,Node.js,6,3987,33.98,6.15,25.46,32.81,60.22,138.32,0.0
aws,Node.js,7,4454,33.7,6.1,25.89,32.61,59.04,153.43,0.0
aws,Node.js,8,4905,35.03,12.53,25.46,32.55,109.79,229.24,0.08050847457627118
aws,Node.js,9,5369,36.55,16.52,25.71,32.52,120.09,205.87,0.0635593220338983
aws,Node.js,10,5817,33.69,8.6,25.41,32.25,66.78,266.78,0.00847457627118644
aws,Node.js,11,6288,33.37,5.64,25.58,32.2,58.78,121.68,0.00423728813559322
aws,Node.js,12,6741,33.33,6.72,26.13,32.09,61.75,139.99,0.0
aws,Node.js,13,7209,33.31,6.68,25.53,32.05,62.2,144.29,0.00847457627118644
aws,Node.js,14,7653,33.25,6.39,25.98,32.02,60.87,134.35,0.0
aws,Node.js,15,8112,33.0,5.5,25.93,31.96,56.29,125.71,0.00423728813559322
aws,Node.js,16,8579,33.31,7.27,25.79,31.91,64.64,171.54,0.00423728813559322
aws,Node.js,17,9038,34.78,16.69,25.16,31.88,109.9,279.3,0.1694915254237288
aws,Node.js,18,9384,33.46,8.72,25.64,31.93,66.48,193.9,0.0
aws,Node.js,19,9435,33.46,8.21,25.28,31.9,65.13,192.82,0.0
aws,Node.js,20,8266,33.27,7.61,25.38,31.87,59.2,180.73,0.0
aws,Node.js,21,4120,33.47,7.54,25.55,31.97,63.97,171.17,0.0
aws,Node.js,22,638,34.7,10.44,26.46,32.3,96.52,126.93,0.0
aws,Node.js,23,18,32.75,2.19,29.64,32.72,37.59,37.84,0.0
aws,Node.js,24,1,31.78,0.0,31.78,31.78,31.78,31.78,0.0
aws,Python,0,770,91.11,74.76,27.85,46.48,241.5,270.45,0.0
aws,Python,1,1672,38.62,20.79,27.84,33.95,186.32,249.35,0.0
aws,Python,2,2144,34.46,5.31,27.45,33.37,54.52,107.93,0.0
aws,Python,3,2614,34.15,4.81,26.36,33.24,54.48,98.16,0.0
aws,Python,4,3065,34.08,5.46,26.47,33.03,58.69,107.12,0.0
aws,Python,5,3517,34.17,6.07,25.58,32.96,61.81,121.4,0.0
aws,Python,6,3983,33.87,5.2,25.66,32.8,57.87,90.39,0.0
aws,Python,7,4428,33.74,5.81,25.99,32.61,57.6,135.67,0.0
aws,Python,8,4896,33.6,5.75,26.04,32.48,59.25,114.83,0.0
aws,Python,9,5349,33.35,5.26,25.48,32.32,57.35,115.12,0.0
aws,Python,10,5803,33.29,5.74,25.91,32.21,57.25,147.6,0.0
aws,Python,11,6257,33.18,5.4,25.68,32.13,56.89,100.8,0.0
aws,Python,12,6728,33.07,5.58,25.29,31.99,56.88,116.48,0.0
aws,Python,13,7171,33.14,6.23,25.65,31.93,60.79,135.66,0.0
aws,Python,14,7642,33.07,5.73,25.57,31.94,56.97,125.59,0.0
aws,Python,15,8085,33.04,5.99,25.45,31.88,56.94,140.84,0.0
aws,Python,16,8544,33.04,5.62,25.29,31.92,56.43,141.57,0.0
aws,Python,17,9004,32.86,5.52,25.21,31.79,56.42,168.73,0.0
aws,Python,18,9344,33.03,6.13,25.29,31.76,61.29,141.96,0.0
aws,Python,19,9395,32.83,5.59,25.18,31.74,57.44,120.94,0.0
aws,Python,20,8179,32.82,4.99,25.39,31.8,55.11,92.92,0.0
aws,Python,21,4059,33.23,5.71,25.02,31.95,58.2,107.92,0.0
aws,Python,22,615,33.48,5.28,27.19,32.23,50.49,98.76,0.0
aws,Python,23,10,35.33,4.98,29.54,32.02,43.38,43.56,0.0
cloudflare,Node.js,0,740,24.04,21.0,12.99,19.34,143.46,359.34,3.1627906976744184
cloudflare,Node.js,1,1656,22.21,22.33,10.72,18.58,64.33,689.15,5.195744680851064
cloudflare,Node.js,2,2145,18.98,8.16,10.06,17.57,34.9,215.95,0.8553191489361702
cloudflare,Node.js,3,2599,18.55,4.69,10.12,17.43,33.53,142.97,0.00425531914893617
cloudflare,Node.js,4,3056,18.44,4.92,10.12,17.39,32.26,213.68,0.0
cloudflare,Node.js,5,3510,18.32,4.3,9.89,17.36,31.88,179.84,0.0
cloudflare,Node.js,6,3968,18.32,5.98,9.71,17.35,31.67,330.14,0.0
cloudflare,Node.js,7,4431,18.26,5.11,10.06,17.31,30.1,284.38,0.0
cloudflare,Node.js,8,4879,18.3,5.61,9.82,17.31,31.32,337.03,0.0
cloudflare,Node.js,9,5336,18.27,3.66,9.62,17.25,31.45,98.39,0.0
cloudflare,Node.js,10,5805,18.22,3.92,9.57,17.27,31.72,152.15,0.0
cloudflare,Node.js,11,6259,18.33,6.14,9.56,17.21,32.28,346.1,0.0
cloudflare,Node.js,12,6709,18.27,5.8,9.94,17.22,32.03,301.5,0.0
cloudflare,Node.js,13,7166,18.18,4.55,9.56,17.18,30.72,231.54,0.0
cloudflare,Node.js,14,7627,18.17,5.1,9.69,17.15,31.73,255.23,0.0
cloudflare,Node.js,15,8073,18.14,4.45,9.53,17.16,31.37,254.6,0.0
cloudflare,Node.js,16,8544,18.06,4.73,9.66,17.07,30.79,233.53,0.0
cloudflare,Node.js,17,8995,17.97,5.38,9.39,17.03,30.89,329.6,0.0
cloudflare,Node.js,18,9345,18.12,5.88,9.42,17.06,31.49,319.76,0.00425531914893617
cloudflare,Node.js,19,9392,17.96,4.71,9.56,17.02,30.59,249.98,0.0
