provider,runtime,second,count,mean,std,min,p50,p99,max
aws,Node.js,0,377,44.66,23.19,27.74,35.52,137.5,155.71
aws,Node.js,1,1623,36.51,10.98,26.92,33.91,78.84,169.85
aws,Node.js,2,2144,34.4,4.9,26.44,33.43,53.12,100.25
aws,Node.js,3,2609,34.44,5.78,25.32,33.34,59.68,115.47
aws,Node.js,4,3077,34.38,5.98,26.64,33.23,58.8,110.1
aws,Node.js,5,3532,33.97,5.72,25.32,32.9,57.29,127.29
aws,Node.js,6,3987,33.98,6.15,25.46,32.81,60.22,138.32
aws,Node.js,7,4454,33.7,6.1,25.89,32.61,59.04,153.43
aws,Node.js,8,4886,34.95,12.22,25.46,32.54,109.78,195.56
aws,Node.js,9,5354,36.49,16.42,25.71,32.51,119.87,205.87
aws,Node.js,10,5815,33.65,8.04,25.41,32.24,66.39,181.95
aws,Node.js,11,6287,33.36,5.64,25.58,32.2,58.78,121.68
aws,Node.js,12,6741,33.33,6.72,26.13,32.09,61.75,139.99
aws,Node.js,13,7207,33.3,6.67,25.53,32.05,61.83,144.29
aws,Node.js,14,7653,33.25,6.39,25.98,32.02,60.87,134.35
aws,Node.js,15,8111,33.0,5.5,25.93,31.96,56.3,125.71
aws,Node.js,16,8578,33.31,7.26,25.79,31.91,64.59,171.54
aws,Node.js,17,8998,33.95,10.7,25.16,31.87,97.39,198.72
aws,Node.js,18,9384,33.46,8.72,25.64,31.93,66.48,193.9
aws,Node.js,19,9435,33.46,8.21,25.28,31.9,65.13,192.82
aws,Node.js,20,8266,33.27,7.61,25.38,31.87,59.2,180.73
aws,Node.js,21,4120,33.47,7.54,25.55,31.97,63.97,171.17
aws,Node.js,22,638,34.7,10.44,26.46,32.3,96.52,126.93
aws,Node.js,23,18,32.75,2.19,29.64,32.72,37.59,37.84
aws,Node.js,24,1,31.78,0.0,31.78,31.78,31.78,31.78
aws,Python,0,770,91.11,74.76,27.85,46.48,241.5,270.45
aws,Python,1,1672,38.62,20.79,27.84,33.95,186.32,249.35
aws,Python,2,2144,34.46,5.31,27.45,33.37,54.52,107.93
aws,Python,3,2614,34.15,4.81,26.36,33.24,54.48,98.16
aws,Python,4,3065,34.08,5.46,26.47,33.03,58.69,107.12
aws,Python,5,3517,34.17,6.07,25.58,32.96,61.81,121.4
aws,Python,6,3983,33.87,5.2,25.66,32.8,57.87,90.39
aws,Python,7,4428,33.74,5.81,25.99,32.61,57.6,135.67
aws,Python,8,4896,33.6,5.75,26.04,32.48,59.25,114.83
aws,Python,9,5349,33.35,5.26,25.48,32.32,57.35,115.12
aws,Python,10,5803,33.29,5.74,25.91,32.21,57.25,147.6
aws,Python,11,6257,33.18,5.4,25.68,32.13,56.89,100.8
aws,Python,12,6728,33.07,5.58,25.29,31.99,56.88,116.48
aws,Python,13,7171,33.14,6.23,25.65,31.93,60.79,135.66
aws,Python,14,7642,33.07,5.73,25.57,31.94,56.97,125.59
aws,Python,15,8085,33.04,5.99,25.45,31.88,56.94,140.84
aws,Python,16,8544,33.04,5.62,25.29,31.92,56.43,141.57
aws,Python,17,9004,32.86,5.52,25.21,31.79,56.42,168.73
aws,Python,18,9344,33.03,6.13,25.29,31.76,61.29,141.96
aws,Python,19,9395,32.83,5.59,25.18,31.74,57.44,120.94
aws,Python,20,8179,32.82,4.99,25.39,31.8,55.11,92.92
aws,Python,21,4059,33.23,5.71,25.02,31.95,58.2,107.92
aws,Python,22,615,33.48,5.28,27.19,32.23,50.49,98.76
aws,Python,23,10,35.33,4.98,29.54,32.02,43.38,43.56
cloudflare,Node.js,0,60,20.95,4.89,16.09,19.19,37.7,38.01
cloudflare,Node.js,1,435,18.95,3.74,10.72,17.79,31.66,46.06
cloudflare,Node.js,2,1944,18.49,4.04,10.06,17.48,31.07,115.65
cloudflare,Node.js,3,2598,18.55,4.69,10.12,17.43,33.53,142.97
cloudflare,Node.js,4,3056,18.44,4.92,10.12,17.39,32.26,213.68
cloudflare,Node.js,5,3510,18.32,4.3,9.89,17.36,31.88,179.84
cloudflare,Node.js,6,3968,18.32,5.98,9.71,17.35,31.67,330.14
cloudflare,Node.js,7,4431,18.26,5.11,10.06,17.31,30.1,284.38
cloudflare,Node.js,8,4879,18.3,5.61,9.82,17.31,31.32,337.03
cloudflare,Node.js,9,5336,18.27,3.66,9.62,17.25,31.45,98.39
cloudflare,Node.js,10,5805,18.22,3.92,9.57,17.27,31.72,152.15
cloudflare,Node.js,11,6259,18.33,6.14,9.56,17.21,32.28,346.1
cloudflare,Node.js,12,6709,18.27,5.8,9.94,17.22,32.03,301.5
cloudflare,Node.js,13,7166,18.18,4.55,9.56,17.18,30.72,231.54
cloudflare,Node.js,14,7627,18.17,5.1,9.69,17.15,31.73,255.23
cloudflare,Node.js,15,8073,18.14,4.45,9.53,17.16,31.37,254.6
cloudflare,Node.js,16,8544,18.06,4.73,9.66,17.07,30.79,233.53
cloudflare,Node.js,17,8995,17.97,5.38,9.39,17.03,30.89,329.6
cloudflare,Node.js,18,9344,18.12,5.88,9.42,17.06,31.49,319.76
cloudflare,Node.js,19,9392,17.96,4.71,9.56,17.02,30.59,249.98
cloudflare,Node.js,20,8257,18.05,6.01,9.68,17.02,31.99,354.02
cloudflare,Node.js,21,4149,18.05,3.67,9.72,17.08,30.59,118.52
